1th_purchase_product_id,2th_purchase_product_id,3th_purchase_product_id,4th_purchase_product_id,5th_purchase_product_id,6th_purchase_product_id,label
47566B,47599A,22128,21977,POST,35637A,0
22621,22818,23445,23349,22492,21891,1
22621,22818,23445,23349,22492,84625C,0
23256,23240,23236,POST,16161P,21481,1
23256,23240,23236,POST,16161P,23502,0
M,21519,22646,22088,21232,21520,1
M,21519,22646,22088,21232,23484,0
22749,22961,POST,21481,21944,23344,1
22749,22961,POST,21481,21944,22317,0
POST,22554,20981,23084,20724,20981,1
POST,22554,20981,23084,20724,20970,0
21731,84978,23300,23301,22726,35004G,1
21731,84978,23300,23301,22726,20837,0
21115,22053,22505,21787,21789,POST,1
21115,22053,22505,21787,21789,23153,0
22720,84510A,23240,23243,23293,37500,1
22720,84510A,23240,23243,23293,23451,0
22232,21372,20665,22232,23052,22379,1
22232,21372,20665,22232,23052,90014B,0
23007,21915,23010,23008,22468,22192,1
23007,21915,23010,23008,22468,23026,0
22848,22846,22624,POST,22784,22627,1
22848,22846,22624,POST,22784,51014L,0
POST,POST,0,0,0,22551,1
POST,POST,0,0,0,23463,0
82494L,82483,82486,22423,22173,72802C,1
82494L,82483,82486,22423,22173,21627,0
21243,21242,21244,20677,POST,21063,1
21243,21242,21244,20677,POST,85230A,0
21829,22317,20726,20728,22662,47591D,1
21829,22317,20726,20728,22662,21439,0
21494,72741,22077,23148,22661,23281,1
21494,72741,22077,23148,22661,22591,0
POST,22467,22624,22625,POST,22624,1
POST,22467,22624,22625,POST,22734,0
23256,22179,22961,22331,23204,22326,1
23256,22179,22961,22331,23204,22896,0
POST,23155,22741,22556,22961,POST,1
POST,23155,22741,22556,22961,84992,0
22302,21914,84997D,22613,22029,22322,1
22302,21914,84997D,22613,22029,23177,0
48188,22304,84997B,21155,22244,20685,1
48188,22304,84997B,21155,22244,21262,0
22720,20979,21989,21987,21558,20979,1
22720,20979,21989,21987,21558,90161C,0
22435,84997D,21231,22722,22383,22554,1
22435,84997D,21231,22722,22383,85123A,0
23170,23171,23167,23209,23202,23244,1
23170,23171,23167,23209,23202,21217,0
23084,21452,22378,21731,23298,23275,1
23084,21452,22378,21731,23298,23191,0
84077,22075,22283,21329,20711,POST,1
84077,22075,22283,21329,20711,22184,0
20685,85099B,POST,22379,21731,20726,1
20685,85099B,POST,22379,21731,22163,0
22848,20725,22384,23209,21937,22383,1
22848,20725,22384,23209,21937,23504,0
20719,23207,20726,23206,22355,22175,1
20719,23207,20726,23206,22355,22311,0
22960,23293,23296,23294,23297,22960,1
22960,23293,23296,23294,23297,20751,0
23210,22577,21484,21485,23597,21429,1
23210,22577,21484,21485,23597,23192,0
20719,21495,22355,22356,21930,22960,1
20719,21495,22355,22356,21930,22678,0
21930,22411,22386,22385,85099B,23205,1
21930,22411,22386,22385,85099B,21746,0
23290,23292,22898,22617,22367,23285,1
23290,23292,22898,22617,22367,20655,0
21452,23029,POST,85032A,22139,23189,1
21452,23029,POST,85032A,22139,22501,0
20979,16045,22326,21116,22325,22163,1
20979,16045,22326,21116,22325,22278,0
21535,21533,22649,22059,21232,22192,1
21535,21533,22649,22059,21232,85106,0
22616,22615,22960,21967,90202D,90204,1
22616,22615,22960,21967,90202D,22228,0
72351A,72351B,85170C,21977,84991,22222,1
72351A,72351B,85170C,21977,84991,23205,0
22221,21232,22220,15060B,37449,21232,1
22221,21232,22220,15060B,37449,20803,0
21709,46000S,22111,21078,21080,22112,1
21709,46000S,22111,21078,21080,84921,0
M,M,M,21232,21224,22232,1
M,M,M,21232,21224,84796B,0
POST,85123A,22922,23158,23156,23213,1
POST,85123A,22922,23158,23156,22445,0
22197,21212,22090,21121,22386,22333,1
22197,21212,22090,21121,22386,20718,0
22221,22077,21974,84988,84987,48185,1
22221,22077,21974,84988,84987,22613,0
20979,22746,22144,22142,22141,22748,1
20979,22746,22144,22142,22141,22357,0
22128,22127,22583,22133,22132,POST,1
22128,22127,22583,22133,22132,20848,0
84879,84968D,20685,22692,22898,POST,1
84879,84968D,20685,22692,22898,20998,0
22932,23176,21136,35645,23331,22666,1
22932,23176,21136,35645,23331,22739,0
20728,22384,20727,20725,22383,21244,1
20728,22384,20727,20725,22383,22450,0
POST,23198,22302,23199,22303,22637,1
POST,23198,22302,23199,22303,22412,0
23345,21931,23176,20719,22743,79191C,1
23345,21931,23176,20719,22743,40046A,0
POST,22649,21581,47567B,POST,POST,1
POST,22649,21581,47567B,POST,23569,0
21094,21976,85032A,22554,22090,22139,1
21094,21976,85032A,22554,22090,21894,0
22423,71279,48184,POST,22726,22423,1
22423,71279,48184,POST,22726,90082B,0
22666,22863,23243,84970L,22487,23145,1
22666,22863,23243,84970L,22487,22943,0
23085,M,23085,22910,22144,22604,1
23085,M,23085,22910,22144,21719,0
22352,20980,22099,21936,22300,23497,1
22352,20980,22099,21936,22300,23379,0
POST,20750,20866,20686,20682,22432,1
POST,20750,20866,20686,20682,85124B,0
21238,21239,21240,21242,21243,22722,1
21238,21239,21240,21242,21243,22710,0
23154,23176,21733,85123A,22138,84840,1
23154,23176,21733,85123A,22138,22929,0
20719,20723,20724,20726,22382,POST,1
20719,20723,20724,20726,22382,85132C,0
23084,22898,22748,20711,21930,21365,1
23084,22898,22748,20711,21930,23316,0
23167,22840,22625,22327,22915,22669,1
23167,22840,22625,22327,22915,21928,0
23158,21700,POST,22556,20719,22556,1
23158,21700,POST,22556,20719,79066K,0
POST,21094,21746,21749,21080,21746,1
POST,21094,21746,21749,21080,47591D,0
85014B,21642,POST,20679,22211,20718,1
85014B,21642,POST,20679,22211,23473,0
23078,22708,21915,22619,22138,22737,1
23078,22708,21915,22619,22138,79321,0
90201A,90160A,0,0,0,POST,1
90201A,90160A,0,0,0,23514,0
20665,23084,21559,21930,21558,22467,1
20665,23084,21559,21930,21558,21124,0
21936,23256,22993,21156,22367,21929,1
21936,23256,22993,21156,22367,23455,0
23290,21212,23292,POST,23308,23292,1
23290,21212,23292,POST,23308,23455,0
21746,22759,23206,23086,23191,20674,1
21746,22759,23206,23086,23191,22902,0
23438,22580,21731,POST,23319,22698,1
23438,22580,21731,POST,23319,23166,0
POST,22962,22242,22963,22637,22960,1
POST,22962,22242,22963,22637,21292,0
POST,85099B,22385,22380,22553,22326,1
POST,85099B,22385,22380,22553,22981,0
23489,23234,POST,23077,23245,23349,1
23489,23234,POST,23077,23245,22873,0
21164,22173,23213,84347,85231B,22544,1
21164,22173,23213,84347,85231B,22518,0
23204,23200,21408,21539,22328,23344,1
23204,23200,21408,21539,22328,90094,0
POST,47590B,POST,22083,22090,POST,1
POST,47590B,POST,22083,22090,21395,0
22537,23202,21915,22326,21914,22553,1
22537,23202,21915,22326,21914,22409,0
21917,20719,21890,22915,22970,21875,1
21917,20719,21890,22915,22970,23042,0
22382,37475,22635,23209,47593B,23206,1
22382,37475,22635,23209,47593B,22704,0
POST,22809,22818,22900,22959,22900,1
POST,22809,22818,22900,22959,20728,0
23204,20750,23298,22149,21578,23204,1
23204,20750,23298,22149,21578,22443,0
22488,84997C,84997D,22467,82581,22467,1
22488,84997C,84997D,22467,82581,79160,0
M,M,22631,22659,22661,22848,1
M,M,22631,22659,22661,22499,0
23190,22352,POST,23192,23206,85014B,1
23190,22352,POST,23192,23206,21123,0
10002,22562,22931,21826,16235,23582,1
10002,22562,22931,21826,16235,79337,0
POST,20974,22668,21380,22090,21210,1
POST,20974,22668,21380,22090,22710,0
23084,22551,22726,22728,22556,21212,1
23084,22551,22726,22728,22556,46000P,0
POST,21232,22634,21156,22367,21232,1
POST,21232,22634,21156,22367,90214H,0
22972,21197,22976,22423,23236,21715,1
22972,21197,22976,22423,23236,21746,0
23202,22635,22027,22037,23292,20719,1
23202,22635,22027,22037,23292,84032B,0
21731,20750,21452,POST,22326,23254,1
21731,20750,21452,POST,22326,23536,0
23316,35810A,POST,23206,22138,POST,1
23316,35810A,POST,23206,22138,35909A,0
84820,21124,22544,21892,22620,21086,1
84820,21124,22544,21892,22620,23449,0
47590A,23284,21894,48138,22595,22091,1
47590A,23284,21894,48138,22595,22480,0
22328,0,0,0,0,22759,1
22328,0,0,0,0,21485,0
21731,22556,POST,15056P,15056N,90030C,1
21731,22556,POST,15056P,15056N,84916,0
22383,20682,84212,23245,23201,21673,1
22383,20682,84212,23245,23201,85130C,0
85053,22328,22326,84968F,22551,23215,1
85053,22328,22326,84968F,22551,21877,0
22333,22386,21039,21558,21559,23207,1
22333,22386,21039,21558,21559,85099F,0
20676,23505,23570,21706,21707,22432,1
20676,23505,23570,21706,21707,90129F,0
22915,22928,22922,POST,22961,POST,1
22915,22928,22922,POST,22961,21204,0
90201B,POST,22358,22993,23162,22138,1
90201B,POST,22358,22993,23162,84799,0
23222,23212,23035,23318,48194,48194,1
23222,23212,23035,23318,48194,84597C,0
21989,21988,22540,21094,22435,21086,1
21989,21988,22540,21094,22435,21506,0
72799F,72799E,21084,72800C,22224,POST,1
72799F,72799E,21084,72800C,22224,22694,0
21054,20750,21055,21056,22502,21055,1
21054,20750,21055,21056,22502,23558,0
22139,22962,22629,22630,23293,POST,1
22139,22962,22629,22630,23293,23341,0
23165,22456,23111,23017,23015,22776,1
23165,22456,23111,23017,23015,23436,0
21381,23240,22582,22097,22907,20979,1
21381,23240,22582,22097,22907,23471,0
M,22654,22968,22652,22328,22328,1
M,22654,22968,22652,22328,22408,0
22356,20724,21643,21932,21936,21643,1
22356,20724,21643,21932,21936,85099B,0
23013,22366,23014,22949,21210,22417,1
23013,22366,23014,22949,21210,23540,0
23154,22138,20711,22355,21430,22355,1
23154,22138,20711,22355,21430,21986,0
84380,48185,21987,21059,22334,22132,1
84380,48185,21987,21059,22334,22610,0
23108,22061,22796,21929,22170,23108,1
23108,22061,22796,21929,22170,21888,0
22326,20972,22505,22216,21791,84459A,1
22326,20972,22505,22216,21791,23559,0
22956,22554,23203,22051,21928,POST,1
22956,22554,23203,22051,21928,23066,0
20728,22383,21931,22759,22411,85099B,1
20728,22383,21931,22759,22411,90039A,0
23192,22445,22077,22082,21484,22342,1
23192,22445,22077,22082,21484,21251,0
22623,21791,21892,21891,0,22623,1
22623,21791,21892,21891,0,85135A,0
23084,23084,0,0,0,22489,1
23084,23084,0,0,0,23457,0
15056BL,22980,15056N,22617,22138,23198,1
15056BL,22980,15056N,22617,22138,22662,0
21288,84078A,21896,22652,22960,22176,1
21288,84078A,21896,22652,22960,23112,0
22582,22584,22139,22546,21918,22357,1
22582,22584,22139,22546,21918,21875,0
22838,23289,22418,23290,22614,21485,1
22838,23289,22418,23290,22614,21239,0
48138,48138,48138,48138,0,48138,1
48138,48138,48138,48138,0,79337,0
20727,20726,22384,20726,23206,20712,1
20727,20726,22384,20726,23206,84689,0
22138,22139,22617,84978,22696,22138,1
22138,22139,22617,84978,22696,21934,0
21912,21890,21703,21891,22548,22550,1
21912,21890,21703,21891,22548,40001,0
22890,22937,47566,21034,22086,23275,1
22890,22937,47566,21034,22086,84660B,0
22917,22916,22921,22920,22919,22086,1
22917,22916,22921,22920,22919,21145,0
85132B,23173,21932,20718,21933,23207,1
85132B,23173,21932,20718,21933,23300,0
21288,22119,23313,22910,23296,22400,1
21288,22119,23313,22910,23296,90192,0
84380,84375,22964,22966,85206A,84375,1
84380,84375,22964,22966,85206A,62018,0
20956,22755,21484,23084,23200,84978,1
20956,22755,21484,23084,23200,85096,0
21696,22675,22961,22665,21563,22477,1
21696,22675,22961,22665,21563,85055,0
37449,37446,21231,22720,22197,37449,1
37449,37446,21231,22720,22197,22570,0
22153,23264,23122,22847,22846,23198,1
22153,23264,23122,22847,22846,23236,0
M,84755,22230,22231,79190B,22029,1
M,84755,22230,22231,79190B,40005B,0
23077,22147,23146,22175,23148,23093,1
23077,22147,23146,22175,23148,23132,0
22949,85123A,22286,22974,22973,22405,1
22949,85123A,22286,22974,22973,22363,0
21843,84992,22423,22908,22326,21731,1
21843,84992,22423,22908,22326,22564,0
23284,23455,23456,23530,23526,23406,1
23284,23455,23456,23530,23526,22833,0
21498,21495,0,0,0,21495,1
21498,21495,0,0,0,21213,0
21210,22969,85034A,85034C,22236,85034A,1
21210,22969,85034A,85034C,22236,23393,0
22469,22470,0,0,0,23298,1
22469,22470,0,0,0,23014,0
23146,23148,22588,82494L,21340,21385,1
23146,23148,22588,82494L,21340,90046,0
22236,22970,47590A,47590B,22608,37448,1
22236,22970,47590A,47590B,22608,79164,0
23085,23084,21481,22697,23171,22910,1
23085,23084,21481,22697,23171,22845,0
21754,84946,21755,21462,90057,18097C,1
21754,84946,21755,21462,90057,90214D,0
37495,21218,21217,22840,85132A,22989,1
37495,21218,21217,22840,85132A,21240,0
23298,23240,22386,23327,23326,47590A,1
23298,23240,22386,23327,23326,22466,0
22168,22838,22427,22456,22962,22605,1
22168,22838,22427,22456,22962,23205,0
22698,22698,22430,22470,84879,47504K,1
22698,22698,22430,22470,84879,21810,0
23091,23298,21787,23310,71459,22960,1
23091,23298,21787,23310,71459,22333,0
21756,21735,23099,21625,84879,23168,1
21756,21735,23099,21625,84879,21445,0
22382,22139,15034,20725,22077,23209,1
22382,22139,15034,20725,22077,21756,0
22411,23201,22355,21636,20719,20724,1
22411,23201,22355,21636,20719,20803,0
82552,22196,23039,22904,82551,21110,1
82552,22196,23039,22904,82551,23028,0
22596,23013,82583,23406,23403,22722,1
22596,23013,82583,23406,23403,20966,0
22733,23012,85049E,85049C,85049A,23287,1
22733,23012,85049E,85049C,85049A,22618,0
23494,22083,23084,23119,21680,23292,1
23494,22083,23084,23119,21680,21743,0
M,21914,22150,22620,48187,22570,1
M,21914,22150,22620,48187,22774,0
22333,21428,84997B,84997A,22276,22504,1
22333,21428,84997B,84997A,22276,23086,0
23504,23121,22960,21264,23165,22818,1
23504,23121,22960,21264,23165,21219,0
21463,22464,22152,22807,15044A,22219,1
21463,22464,22152,22807,15044A,22062,0
22554,22866,23209,20719,23236,23247,1
22554,22866,23209,20719,23236,84522,0
47566,85159A,71459,22178,21877,21318,1
47566,85159A,71459,22178,21877,23271,0
16219,21642,23480,21932,21463,22299,1
16219,21642,23480,21932,21463,22767,0
23110,22794,22502,23298,22624,23210,1
23110,22794,22502,23298,22624,23427,0
72741,21137,48138,22301,48138,22301,1
72741,21137,48138,22301,48138,90116,0
85099B,85099F,20711,22386,85099C,85099B,1
85099B,85099F,20711,22386,85099C,84563A,0
84536A,22561,84510A,85053,21977,22429,1
84536A,22561,84510A,85053,21977,22033,0
22306,22307,22113,0,0,22307,1
22306,22307,22113,0,0,23306,0
22526,22433,85198,22431,22523,22526,1
22526,22433,85198,22431,22523,21067,0
21326,22469,47566,84510A,84509A,21930,1
21326,22469,47566,84510A,84509A,22154,0
21232,20724,85014B,20665,21232,21232,1
21232,20724,85014B,20665,21232,22419,0
23035,23034,23204,22175,22620,23403,1
23035,23034,23204,22175,22620,82552,0
22113,22969,22508,72741,22110,84826,1
22113,22969,22508,72741,22110,84415A,0
22654,21977,21625,84991,21622,21528,1
22654,21977,21625,84991,21622,22937,0
22652,22427,22844,22845,21181,POST,1
22652,22427,22844,22845,21181,84584,0
22504,22504,21790,21791,0,22384,1
22504,22504,21790,21791,0,20665,0
20970,21200,21677,22273,21213,21677,1
20970,21200,21677,22273,21213,23247,0
22916,23208,21900,48188,22921,22692,1
22916,23208,21900,48188,22921,20622,0
23243,23166,23167,23169,23299,22799,1
23243,23166,23167,23169,23299,22824,0
23515,22959,23511,22720,84879,84879,1
23515,22959,23511,22720,84879,22956,0
84050,21916,22457,22112,22079,22867,1
84050,21916,22457,22112,22079,84032A,0
22083,22170,23152,47566,22175,22720,1
22083,22170,23152,47566,22175,23045,0
23313,22776,47590A,47590B,23313,47590B,1
23313,22776,47590A,47590B,23313,22144,0
23462,23393,23462,82580,22297,23331,1
23462,23393,23462,82580,22297,37491D,0
85099C,0,0,0,0,85099C,1
85099C,0,0,0,0,22247,0
21064,20936,21064,21064,20936,21064,1
21064,20936,21064,21064,20936,21129,0
23205,21914,21915,22149,22150,22729,1
23205,21914,21915,22149,22150,84913A,0
22780,22779,22752,21982,0,21231,1
22780,22779,22752,21982,0,17107D,0
23010,23270,22622,22139,23008,21788,1
23010,23270,22622,22139,23008,21989,0
22314,84006,22065,22064,21068,21068,1
22314,84006,22065,22064,21068,23026,0
21716,21715,22320,47566,21055,16045,1
21716,21715,22320,47566,21055,84944,0
22791,84946,22791,84946,22174,84946,1
22791,84946,22791,84946,22174,22744,0
71279,M,22776,23181,23234,23242,1
71279,M,22776,23181,23234,84559A,0
22847,22846,22704,20727,20914,85123A,1
22847,22846,22704,20727,20914,22248,0
23342,22197,23241,23052,23242,21871,1
23342,22197,23241,23052,23242,20774,0
21137,22041,21137,35970,23196,35970,1
21137,22041,21137,35970,23196,84931A,0
23084,23241,23190,22714,22706,22818,1
23084,23241,23190,22714,22706,22171,0
22617,22492,22333,22274,22750,20725,1
22617,22492,22333,22274,22750,72818,0
22550,17136A,22031,22025,21509,84836,1
22550,17136A,22031,22025,21509,22190,0
22246,22191,21754,21755,22219,22066,1
22246,22191,21754,21755,22219,85144,0
22502,22400,22399,84457,21980,20971,1
22502,22400,22399,84457,21980,46000M,0
22622,22326,22634,23256,84997D,22622,1
22622,22326,22634,23256,84997D,23345,0
47566B,21411,47566,0,0,22487,1
47566B,21411,47566,0,0,21471,0
22727,22149,23207,20727,21929,23206,1
22727,22149,23207,20727,21929,22335,0
22595,21770,22726,22727,22377,D,1
22595,21770,22726,22727,22377,84625A,0
22568,22569,22149,22586,20969,23126,1
22568,22569,22149,22586,20969,21086,0
85066,22703,23322,23323,22288,84843,1
85066,22703,23322,23323,22288,17021,0
71459,21558,21671,16161U,21669,22865,1
71459,21558,21671,16161U,21669,84997C,0
79321,79321,79321,0,0,79321,1
79321,79321,79321,0,0,21087,0
21622,22456,21757,21171,82599,21430,1
21622,22456,21757,21171,82599,22532,0
22558,22570,21791,84569B,21917,22569,1
22558,22570,21791,84569B,21917,20717,0
21703,21369,21251,23207,21249,20727,1
21703,21369,21251,23207,21249,79067,0
22988,22191,22972,22974,23075,23075,1
22988,22191,22972,22974,23075,90210B,0
22495,22944,22684,22676,22680,22684,1
22495,22944,22684,22676,22680,22039,0
23434,23435,22944,23131,22695,22695,1
23434,23435,22944,23131,22695,22683,0
23485,23485,23265,22578,21745,84509A,1
23485,23485,23265,22578,21745,37491B,0
85184C,23357,85123A,21812,22075,21064,1
85184C,23357,85123A,21812,22075,84569D,0
22737,22261,23414,22260,22190,70007,1
22737,22261,23414,22260,22190,22148,0
20728,23208,22090,21930,20727,21499,1
20728,23208,22090,21930,20727,23370,0
22637,20914,82600,21903,21407,21169,1
22637,20914,82600,21903,21407,84922,0
20615,20616,20992,20996,35471D,35923,1
20615,20616,20992,20996,35471D,35265,0
20726,22326,84920,20725,21500,22569,1
20726,22326,84920,20725,21500,23501,0
85175,72741,15036,0,0,15044A,1
85175,72741,15036,0,0,85132A,0
22727,22729,22992,22699,22728,21915,1
22727,22729,22992,22699,22728,47351B,0
21210,22086,22086,23121,21495,21058,1
21210,22086,22086,23121,21495,22556,0
84755,85177,84946,21742,22782,47566,1
84755,85177,84946,21742,22782,21455,0
23109,23083,15039,23083,23109,23109,1
23109,23083,15039,23083,23109,23417,0
84508A,0,0,0,0,21892,1
84508A,0,0,0,0,90214H,0
75049L,21167,23342,23548,16161P,85130B,1
75049L,21167,23342,23548,16161P,82615,0
85099C,21929,22386,82483,82483,85099B,1
85099C,21929,22386,82483,82483,22166,0
21110,84819,21620,21615,21111,22065,1
21110,84819,21620,21615,21111,85015,0
23014,21378,21379,21377,21745,23411,1
23014,21378,21379,21377,21745,22371,0
22138,22138,22909,22851,47591D,22367,1
22138,22138,22909,22851,47591D,79144C,0
22630,22423,22629,21929,22489,22209,1
22630,22423,22629,21929,22489,22268,0
23427,21891,21391,71459,23148,22055,1
23427,21891,21391,71459,23148,22383,0
22609,17091J,85173,85035C,84356,21096,1
22609,17091J,85173,85035C,84356,22422,0
84755,48187,23307,22917,22916,84378,1
84755,48187,23307,22917,22916,22875,0
21395,85132C,22993,23550,23291,20992,1
21395,85132C,22993,23550,23291,84907,0
21916,84755,82494L,22178,22630,82494L,1
21916,84755,82494L,22178,22630,84763,0
22649,82578,82580,22383,22382,22212,1
22649,82578,82580,22383,22382,85020,0
22667,85099B,23546,23187,22398,23343,1
22667,85099B,23546,23187,22398,20803,0
82616B,23184,22649,22066,22672,22945,1
82616B,23184,22649,22066,22672,47590A,0
85123A,22189,21340,22413,22795,22112,1
85123A,22189,21340,22413,22795,22641,0
23048,22835,23046,23047,23041,23084,1
23048,22835,23046,23047,23041,22876,0
21936,21467,21531,21212,22595,20728,1
21936,21467,21531,21212,22595,90189A,0
22386,23204,22161,21576,23201,20724,1
22386,23204,22161,21576,23201,22529,0
22423,22776,21471,47580,21212,21519,1
22423,22776,21471,47580,21212,79051A,0
22469,23493,84978,23503,22139,22076,1
22469,23493,84978,23503,22139,23325,0
21932,21497,85099B,22637,21922,22429,1
21932,21497,85099B,22637,21922,90176D,0
85039B,72351A,22834,22904,22636,71477,1
85039B,72351A,22834,22904,22636,90039D,0
23084,23482,23480,82001S,20725,23237,1
23084,23482,23480,82001S,20725,84732D,0
23245,22423,15060B,21754,48194,23265,1
23245,22423,15060B,21754,48194,22765,0
71053,71477,22569,23056,23184,71053,1
71053,71477,22569,23056,23184,22149,0
22029,21028,22383,21027,21495,16169E,1
22029,21028,22383,21027,21495,23417,0
22086,71477,0,0,0,72807C,1
22086,71477,0,0,0,22345,0
21519,84997C,84755,23153,22898,23206,1
21519,84997C,84755,23153,22898,23323,0
21285,22986,22866,22215,22442,85032A,1
21285,22986,22866,22215,22442,23508,0
85019A,22750,20761,22704,22502,22141,1
85019A,22750,20761,22704,22502,23080,0
85066,48184,23298,22180,71477,22776,1
85066,48184,23298,22180,71477,37413,0
22941,23480,23280,22492,23041,23281,1
22941,23480,23280,22492,23041,22643,0
22841,84879,23245,22178,22842,23292,1
22841,84879,23245,22178,22842,22127,0
21136,23060,22599,22598,22597,84946,1
21136,23060,22599,22598,22597,84970S,0
23173,22699,21977,84991,21975,22697,1
23173,22699,21977,84991,21975,71215,0
79191C,82484,22431,82482,79191C,85099B,1
79191C,82484,22431,82482,79191C,21898,0
22939,20794,22898,23200,21033,22960,1
22939,20794,22898,23200,21033,21115,0
22634,22629,22620,22084,22085,22634,1
22634,22629,22620,22084,22085,22742,0
23169,0,0,0,0,22457,1
23169,0,0,0,0,21425,0
21619,20750,21618,21616,23493,22114,1
21619,20750,21618,21616,23493,21561,0
23169,23165,22666,22623,22942,22899,1
23169,23165,22666,22623,22942,23264,0
90211B,21231,22893,21733,37495,37495,1
90211B,21231,22893,21733,37495,22134,0
22632,22623,22941,22943,21591,22960,1
22632,22623,22941,22943,21591,22493,0
22771,22843,21673,23049,23052,23028,1
22771,22843,21673,23049,23052,21422,0
84380,84375,84879,22077,22627,22728,1
84380,84375,84879,22077,22627,21695,0
21937,22151,22822,21136,47566,21481,1
21937,22151,22822,21136,47566,23325,0
21985,22595,22161,22178,22301,85099B,1
21985,22595,22161,22178,22301,21882,0
23341,21137,22381,23243,22728,22720,1
23341,21137,22381,23243,22728,22717,0
22427,21213,72741,22898,22667,22427,1
22427,21213,72741,22898,22667,23281,0
23245,23173,23412,23170,23359,23370,1
23245,23173,23412,23170,23359,21715,0
84030E,84029G,84029E,23355,22835,22112,1
84030E,84029G,84029E,23355,22835,84663A,0
21314,21314,21447,22487,85066,21974,1
21314,21314,21447,22487,85066,23285,0
23045,21165,23245,23357,21181,POST,1
23045,21165,23245,23357,21181,48129,0
23240,22652,22557,20982,84251G,POST,1
23240,22652,22557,20982,84251G,47591D,0
21166,21175,21181,82600,85152,82580,1
21166,21175,21181,82600,85152,21167,0
16169E,21775,22959,22402,21774,22812,1
16169E,21775,22959,22402,21774,23359,0
82583,21034,21533,23439,22312,23356,1
82583,21034,21533,23439,22312,22378,0
21669,22896,23103,23154,23169,23287,1
21669,22896,23103,23154,23169,84993B,0
35637A,35637C,22771,22469,22788,21169,1
35637A,35637C,22771,22469,22788,20718,0
22057,22061,37450,22063,22452,82486,1
22057,22061,37450,22063,22452,21944,0
23298,47566,23293,22508,21986,23118,1
23298,47566,23293,22508,21986,23568,0
16161P,23546,23231,22046,85032C,23480,1
16161P,23546,23231,22046,85032C,23143,0
23126,23176,23184,22224,21389,23181,1
23126,23176,23184,22224,21389,22882,0
15044A,84077,15044C,22089,21790,22220,1
15044A,84077,15044C,22089,21790,20761,0
16161P,21914,22666,22273,22274,21821,1
16161P,21914,22666,22273,22274,90209B,0
21155,23213,23374,22595,85123A,84356,1
21155,23213,23374,22595,85123A,44235,0
20725,20728,20727,23207,20726,20727,1
20725,20728,20727,23207,20726,22197,0
84378,21109,21563,21620,22978,22960,1
84378,21109,21563,21620,22978,23274,0
84596B,84970L,22156,84596F,48187,21733,1
84596B,84970L,22156,84596F,48187,84976,0
85014B,22844,23173,22771,84991,22656,1
85014B,22844,23173,22771,84991,20674,0
37495,22854,84880,21533,23103,22776,1
37495,22854,84880,21533,23103,21064,0
72760B,22215,21912,22619,23229,21429,1
72760B,22215,21912,22619,23229,21704,0
21812,21730,84949,21143,22158,84946,1
21812,21730,84949,21143,22158,22033,0
21349,21349,22121,22119,22086,22859,1
21349,21349,22121,22119,22086,84993A,0
21314,22251,21754,82582,21166,22577,1
21314,22251,21754,82582,21166,21828,0
22114,22633,22111,22112,22866,22139,1
