1th_product_id,1th_concurrent_purchase,2th_product_id,2th_concurrent_purchase,3th_product_id,3th_concurrent_purchase,4th_product_id,4th_concurrent_purchase,5th_product_id,5th_concurrent_purchase,6th_product_id,label
22435,1,84997D,1.0,21231,1.0,22722,1.0,22383,1.0,22554,1
22435,1,84997D,1.0,21231,1.0,22722,1.0,22383,1.0,85123A,0
23170,1,23171,1.0,23167,1.0,23209,1.0,23202,1.0,23244,1
23170,1,23171,1.0,23167,1.0,23209,1.0,23202,1.0,21217,0
23084,1,21452,1.0,22378,1.0,21731,1.0,23298,1.0,23275,1
23084,1,21452,1.0,22378,1.0,21731,1.0,23298,1.0,23191,0
84077,1,22075,1.0,22283,1.0,21329,1.0,20711,1.0,POST,1
84077,1,22075,1.0,22283,1.0,21329,1.0,20711,1.0,22184,0
20685,1,85099B,1.0,POST,1.0,22379,1.0,21731,1.0,20726,1
20685,1,85099B,1.0,POST,1.0,22379,1.0,21731,1.0,22163,0
22848,0,20725,1.0,22384,1.0,23209,1.0,21937,1.0,22383,1
22848,0,20725,1.0,22384,1.0,23209,1.0,21937,1.0,23504,0
20719,1,23207,1.0,20726,1.0,23206,1.0,22355,1.0,22175,1
20719,1,23207,1.0,20726,1.0,23206,1.0,22355,1.0,22311,0
22960,0,23293,1.0,23296,1.0,23294,1.0,23297,1.0,22960,1
22960,0,23293,1.0,23296,1.0,23294,1.0,23297,1.0,20751,0
23210,1,22577,1.0,21484,1.0,21485,1.0,23597,1.0,21429,1
23210,1,22577,1.0,21484,1.0,21485,1.0,23597,1.0,23192,0
20719,1,21495,1.0,22355,1.0,22356,1.0,21930,1.0,22960,1
20719,1,21495,1.0,22355,1.0,22356,1.0,21930,1.0,22678,0
21930,1,22411,1.0,22386,1.0,22385,1.0,85099B,1.0,23205,1
21930,1,22411,1.0,22386,1.0,22385,1.0,85099B,1.0,21746,0
23290,1,23292,1.0,22898,1.0,22617,1.0,22367,1.0,23285,1
23290,1,23292,1.0,22898,1.0,22617,1.0,22367,1.0,20655,0
21452,1,23029,1.0,POST,1.0,85032A,1.0,22139,1.0,23189,1
21452,1,23029,1.0,POST,1.0,85032A,1.0,22139,1.0,22501,0
20979,1,16045,1.0,22326,1.0,21116,1.0,22325,1.0,22163,1
20979,1,16045,1.0,22326,1.0,21116,1.0,22325,1.0,22278,0
21535,1,21533,1.0,22649,1.0,22059,1.0,21232,1.0,22192,1
21535,1,21533,1.0,22649,1.0,22059,1.0,21232,1.0,85106,0
22616,1,22615,1.0,22960,1.0,21967,1.0,90202D,1.0,90204,1
22616,1,22615,1.0,22960,1.0,21967,1.0,90202D,1.0,22228,0
72351A,1,72351B,1.0,85170C,1.0,21977,1.0,84991,1.0,22222,1
72351A,1,72351B,1.0,85170C,1.0,21977,1.0,84991,1.0,23205,0
22221,1,21232,1.0,22220,1.0,15060B,1.0,37449,1.0,21232,1
22221,1,21232,1.0,22220,1.0,15060B,1.0,37449,1.0,20803,0
21709,1,46000S,1.0,22111,1.0,21078,1.0,21080,1.0,22112,1
21709,1,46000S,1.0,22111,1.0,21078,1.0,21080,1.0,84921,0
M,0,M,0.0,M,0.0,21232,1.0,21224,1.0,22232,1
M,0,M,0.0,M,0.0,21232,1.0,21224,1.0,84796B,0
POST,1,85123A,1.0,22922,1.0,23158,1.0,23156,1.0,23213,1
POST,1,85123A,1.0,22922,1.0,23158,1.0,23156,1.0,22445,0
22197,1,21212,1.0,22090,1.0,21121,1.0,22386,1.0,22333,1
22197,1,21212,1.0,22090,1.0,21121,1.0,22386,1.0,20718,0
22221,1,22077,1.0,21974,1.0,84988,1.0,84987,1.0,48185,1
22221,1,22077,1.0,21974,1.0,84988,1.0,84987,1.0,22613,0
20979,0,22746,1.0,22144,1.0,22142,1.0,22141,1.0,22748,1
20979,0,22746,1.0,22144,1.0,22142,1.0,22141,1.0,22357,0
22128,1,22127,1.0,22583,1.0,22133,1.0,22132,1.0,POST,1
22128,1,22127,1.0,22583,1.0,22133,1.0,22132,1.0,20848,0
84879,1,84968D,1.0,20685,1.0,22692,1.0,22898,1.0,POST,1
84879,1,84968D,1.0,20685,1.0,22692,1.0,22898,1.0,20998,0
22932,1,23176,1.0,21136,1.0,35645,1.0,23331,1.0,22666,1
22932,1,23176,1.0,21136,1.0,35645,1.0,23331,1.0,22739,0
20728,1,22384,1.0,20727,1.0,20725,1.0,22383,1.0,21244,1
20728,1,22384,1.0,20727,1.0,20725,1.0,22383,1.0,22450,0
POST,0,23198,1.0,22302,1.0,23199,1.0,22303,1.0,22637,1
POST,0,23198,1.0,22302,1.0,23199,1.0,22303,1.0,22412,0
23345,1,21931,1.0,23176,1.0,20719,1.0,22743,1.0,79191C,1
23345,1,21931,1.0,23176,1.0,20719,1.0,22743,1.0,40046A,0
POST,1,22649,1.0,21581,1.0,47567B,1.0,POST,0.0,POST,1
POST,1,22649,1.0,21581,1.0,47567B,1.0,POST,0.0,23569,0
21094,1,21976,1.0,85032A,1.0,22554,1.0,22090,1.0,22139,1
21094,1,21976,1.0,85032A,1.0,22554,1.0,22090,1.0,21894,0
22423,1,71279,1.0,48184,1.0,POST,1.0,22726,1.0,22423,1
22423,1,71279,1.0,48184,1.0,POST,1.0,22726,1.0,90082B,0
22666,0,22863,1.0,23243,1.0,84970L,1.0,22487,1.0,23145,1
22666,0,22863,1.0,23243,1.0,84970L,1.0,22487,1.0,22943,0
23085,0,M,1.0,23085,1.0,22910,1.0,22144,1.0,22604,1
23085,0,M,1.0,23085,1.0,22910,1.0,22144,1.0,21719,0
22352,0,20980,1.0,22099,1.0,21936,1.0,22300,1.0,23497,1
22352,0,20980,1.0,22099,1.0,21936,1.0,22300,1.0,23379,0
POST,0,20750,1.0,20866,1.0,20686,1.0,20682,1.0,22432,1
POST,0,20750,1.0,20866,1.0,20686,1.0,20682,1.0,85124B,0
21238,1,21239,1.0,21240,1.0,21242,1.0,21243,1.0,22722,1
21238,1,21239,1.0,21240,1.0,21242,1.0,21243,1.0,22710,0
23154,1,23176,1.0,21733,1.0,85123A,1.0,22138,1.0,84840,1
23154,1,23176,1.0,21733,1.0,85123A,1.0,22138,1.0,22929,0
20719,1,20723,1.0,20724,1.0,20726,1.0,22382,1.0,POST,1
20719,1,20723,1.0,20724,1.0,20726,1.0,22382,1.0,85132C,0
23084,0,22898,1.0,22748,1.0,20711,1.0,21930,1.0,21365,1
23084,0,22898,1.0,22748,1.0,20711,1.0,21930,1.0,23316,0
23167,1,22840,1.0,22625,1.0,22327,1.0,22915,1.0,22669,1
23167,1,22840,1.0,22625,1.0,22327,1.0,22915,1.0,21928,0
23158,1,21700,1.0,POST,1.0,22556,1.0,20719,1.0,22556,1
23158,1,21700,1.0,POST,1.0,22556,1.0,20719,1.0,79066K,0
POST,1,21094,1.0,21746,1.0,21749,1.0,21080,1.0,21746,1
POST,1,21094,1.0,21746,1.0,21749,1.0,21080,1.0,47591D,0
85014B,1,21642,1.0,POST,1.0,20679,1.0,22211,1.0,20718,1
85014B,1,21642,1.0,POST,1.0,20679,1.0,22211,1.0,23473,0
23078,1,22708,1.0,21915,1.0,22619,1.0,22138,1.0,22737,1
23078,1,22708,1.0,21915,1.0,22619,1.0,22138,1.0,79321,0
90201A,1,90160A,1.0,0,0.0,0,0.0,0,0.0,POST,1
90201A,1,90160A,1.0,0,0.0,0,0.0,0,0.0,23514,0
20665,1,23084,1.0,21559,1.0,21930,1.0,21558,1.0,22467,1
20665,1,23084,1.0,21559,1.0,21930,1.0,21558,1.0,21124,0
21936,1,23256,1.0,22993,1.0,21156,1.0,22367,1.0,21929,1
21936,1,23256,1.0,22993,1.0,21156,1.0,22367,1.0,23455,0
23290,0,21212,1.0,23292,1.0,POST,1.0,23308,1.0,23292,1
23290,0,21212,1.0,23292,1.0,POST,1.0,23308,1.0,23455,0
21746,1,22759,1.0,23206,1.0,23086,1.0,23191,1.0,20674,1
21746,1,22759,1.0,23206,1.0,23086,1.0,23191,1.0,22902,0
23438,1,22580,1.0,21731,1.0,POST,1.0,23319,1.0,22698,1
23438,1,22580,1.0,21731,1.0,POST,1.0,23319,1.0,23166,0
POST,1,22962,1.0,22242,1.0,22963,1.0,22637,1.0,22960,1
POST,1,22962,1.0,22242,1.0,22963,1.0,22637,1.0,21292,0
POST,0,85099B,1.0,22385,1.0,22380,1.0,22553,1.0,22326,1
POST,0,85099B,1.0,22385,1.0,22380,1.0,22553,1.0,22981,0
23489,1,23234,1.0,POST,1.0,23077,1.0,23245,1.0,23349,1
23489,1,23234,1.0,POST,1.0,23077,1.0,23245,1.0,22873,0
21164,1,22173,1.0,23213,1.0,84347,1.0,85231B,1.0,22544,1
21164,1,22173,1.0,23213,1.0,84347,1.0,85231B,1.0,22518,0
23204,1,23200,1.0,21408,1.0,21539,1.0,22328,1.0,23344,1
23204,1,23200,1.0,21408,1.0,21539,1.0,22328,1.0,90094,0
POST,1,47590B,1.0,POST,1.0,22083,1.0,22090,1.0,POST,1
POST,1,47590B,1.0,POST,1.0,22083,1.0,22090,1.0,21395,0
22537,1,23202,1.0,21915,1.0,22326,1.0,21914,1.0,22553,1
22537,1,23202,1.0,21915,1.0,22326,1.0,21914,1.0,22409,0
21917,1,20719,1.0,21890,1.0,22915,1.0,22970,1.0,21875,1
21917,1,20719,1.0,21890,1.0,22915,1.0,22970,1.0,23042,0
22382,1,37475,1.0,22635,1.0,23209,1.0,47593B,1.0,23206,1
22382,1,37475,1.0,22635,1.0,23209,1.0,47593B,1.0,22704,0
POST,1,22809,1.0,22818,1.0,22900,1.0,22959,1.0,22900,1
POST,1,22809,1.0,22818,1.0,22900,1.0,22959,1.0,20728,0
23204,1,20750,1.0,23298,1.0,22149,1.0,21578,1.0,23204,1
23204,1,20750,1.0,23298,1.0,22149,1.0,21578,1.0,22443,0
22488,1,84997C,1.0,84997D,1.0,22467,1.0,82581,1.0,22467,1
22488,1,84997C,1.0,84997D,1.0,22467,1.0,82581,1.0,79160,0
M,0,M,0.0,22631,1.0,22659,1.0,22661,1.0,22848,1
M,0,M,0.0,22631,1.0,22659,1.0,22661,1.0,22499,0
23190,1,22352,1.0,POST,1.0,23192,1.0,23206,1.0,85014B,1
23190,1,22352,1.0,POST,1.0,23192,1.0,23206,1.0,21123,0
10002,1,22562,1.0,22931,1.0,21826,1.0,16235,1.0,23582,1
10002,1,22562,1.0,22931,1.0,21826,1.0,16235,1.0,79337,0
POST,1,20974,1.0,22668,1.0,21380,1.0,22090,1.0,21210,1
POST,1,20974,1.0,22668,1.0,21380,1.0,22090,1.0,22710,0
23084,1,22551,1.0,22726,1.0,22728,1.0,22556,1.0,21212,1
23084,1,22551,1.0,22726,1.0,22728,1.0,22556,1.0,46000P,0
POST,1,21232,1.0,22634,1.0,21156,1.0,22367,1.0,21232,1
POST,1,21232,1.0,22634,1.0,21156,1.0,22367,1.0,90214H,0
22972,1,21197,1.0,22976,1.0,22423,1.0,23236,1.0,21715,1
22972,1,21197,1.0,22976,1.0,22423,1.0,23236,1.0,21746,0
23202,1,22635,1.0,22027,1.0,22037,1.0,23292,1.0,20719,1
23202,1,22635,1.0,22027,1.0,22037,1.0,23292,1.0,84032B,0
21731,1,20750,1.0,21452,1.0,POST,1.0,22326,1.0,23254,1
21731,1,20750,1.0,21452,1.0,POST,1.0,22326,1.0,23536,0
23316,0,35810A,1.0,POST,1.0,23206,1.0,22138,1.0,POST,1
23316,0,35810A,1.0,POST,1.0,23206,1.0,22138,1.0,35909A,0
84820,1,21124,1.0,22544,1.0,21892,1.0,22620,1.0,21086,1
84820,1,21124,1.0,22544,1.0,21892,1.0,22620,1.0,23449,0
47590A,1,23284,1.0,21894,1.0,48138,1.0,22595,1.0,22091,1
47590A,1,23284,1.0,21894,1.0,48138,1.0,22595,1.0,22480,0
22328,0,0,0.0,0,0.0,0,0.0,0,0.0,22759,1
22328,0,0,0.0,0,0.0,0,0.0,0,0.0,21485,0
21731,1,22556,1.0,POST,1.0,15056P,1.0,15056N,1.0,90030C,1
21731,1,22556,1.0,POST,1.0,15056P,1.0,15056N,1.0,84916,0
22383,0,20682,1.0,84212,1.0,23245,1.0,23201,1.0,21673,1
22383,0,20682,1.0,84212,1.0,23245,1.0,23201,1.0,85130C,0
85053,0,22328,1.0,22326,1.0,84968F,1.0,22551,1.0,23215,1
85053,0,22328,1.0,22326,1.0,84968F,1.0,22551,1.0,21877,0
22333,1,22386,1.0,21039,1.0,21558,1.0,21559,1.0,23207,1
22333,1,22386,1.0,21039,1.0,21558,1.0,21559,1.0,85099F,0
20676,1,23505,1.0,23570,1.0,21706,1.0,21707,1.0,22432,1
20676,1,23505,1.0,23570,1.0,21706,1.0,21707,1.0,90129F,0
22915,1,22928,1.0,22922,1.0,POST,1.0,22961,1.0,POST,1
22915,1,22928,1.0,22922,1.0,POST,1.0,22961,1.0,21204,0
90201B,1,POST,1.0,22358,1.0,22993,1.0,23162,1.0,22138,1
90201B,1,POST,1.0,22358,1.0,22993,1.0,23162,1.0,84799,0
23222,1,23212,1.0,23035,1.0,23318,1.0,48194,1.0,48194,1
23222,1,23212,1.0,23035,1.0,23318,1.0,48194,1.0,84597C,0
21989,1,21988,1.0,22540,1.0,21094,1.0,22435,1.0,21086,1
21989,1,21988,1.0,22540,1.0,21094,1.0,22435,1.0,21506,0
72799F,1,72799E,1.0,21084,1.0,72800C,1.0,22224,1.0,POST,1
72799F,1,72799E,1.0,21084,1.0,72800C,1.0,22224,1.0,22694,0
21054,1,20750,1.0,21055,1.0,21056,1.0,22502,1.0,21055,1
21054,1,20750,1.0,21055,1.0,21056,1.0,22502,1.0,23558,0
22139,1,22962,1.0,22629,1.0,22630,1.0,23293,1.0,POST,1
22139,1,22962,1.0,22629,1.0,22630,1.0,23293,1.0,23341,0
23165,1,22456,1.0,23111,1.0,23017,1.0,23015,1.0,22776,1
23165,1,22456,1.0,23111,1.0,23017,1.0,23015,1.0,23436,0
21381,1,23240,1.0,22582,1.0,22097,1.0,22907,1.0,20979,1
21381,1,23240,1.0,22582,1.0,22097,1.0,22907,1.0,23471,0
M,0,22654,1.0,22968,1.0,22652,1.0,22328,0.0,22328,1
M,0,22654,1.0,22968,1.0,22652,1.0,22328,0.0,22408,0
22356,1,20724,1.0,21643,1.0,21932,1.0,21936,1.0,21643,1
22356,1,20724,1.0,21643,1.0,21932,1.0,21936,1.0,85099B,0
23013,1,22366,1.0,23014,1.0,22949,1.0,21210,1.0,22417,1
23013,1,22366,1.0,23014,1.0,22949,1.0,21210,1.0,23540,0
23154,1,22138,1.0,20711,1.0,22355,1.0,21430,1.0,22355,1
23154,1,22138,1.0,20711,1.0,22355,1.0,21430,1.0,21986,0
84380,1,48185,1.0,21987,1.0,21059,1.0,22334,1.0,22132,1
84380,1,48185,1.0,21987,1.0,21059,1.0,22334,1.0,22610,0
23108,0,22061,1.0,22796,1.0,21929,1.0,22170,0.0,23108,1
23108,0,22061,1.0,22796,1.0,21929,1.0,22170,0.0,21888,0
22326,1,20972,1.0,22505,1.0,22216,1.0,21791,1.0,84459A,1
22326,1,20972,1.0,22505,1.0,22216,1.0,21791,1.0,23559,0
22956,1,22554,1.0,23203,1.0,22051,1.0,21928,1.0,POST,1
22956,1,22554,1.0,23203,1.0,22051,1.0,21928,1.0,23066,0
20728,1,22383,1.0,21931,1.0,22759,1.0,22411,1.0,85099B,1
20728,1,22383,1.0,21931,1.0,22759,1.0,22411,1.0,90039A,0
23192,1,22445,1.0,22077,1.0,22082,1.0,21484,1.0,22342,1
23192,1,22445,1.0,22077,1.0,22082,1.0,21484,1.0,21251,0
22623,0,21791,1.0,21892,1.0,21891,1.0,0,0.0,22623,1
22623,0,21791,1.0,21892,1.0,21891,1.0,0,0.0,85135A,0
23084,0,23084,0.0,0,0.0,0,0.0,0,0.0,22489,1
23084,0,23084,0.0,0,0.0,0,0.0,0,0.0,23457,0
15056BL,1,22980,1.0,15056N,1.0,22617,1.0,22138,1.0,23198,1
15056BL,1,22980,1.0,15056N,1.0,22617,1.0,22138,1.0,22662,0
21288,1,84078A,1.0,21896,1.0,22652,1.0,22960,1.0,22176,1
21288,1,84078A,1.0,21896,1.0,22652,1.0,22960,1.0,23112,0
22582,1,22584,1.0,22139,1.0,22546,1.0,21918,1.0,22357,1
22582,1,22584,1.0,22139,1.0,22546,1.0,21918,1.0,21875,0
22838,0,23289,1.0,22418,1.0,23290,1.0,22614,1.0,21485,1
22838,0,23289,1.0,22418,1.0,23290,1.0,22614,1.0,21239,0
48138,0,48138,0.0,48138,0.0,48138,0.0,0,0.0,48138,1
48138,0,48138,0.0,48138,0.0,48138,0.0,0,0.0,79337,0
20727,1,20726,1.0,22384,1.0,20726,1.0,23206,1.0,20712,1
20727,1,20726,1.0,22384,1.0,20726,1.0,23206,1.0,84689,0
22138,1,22139,1.0,22617,1.0,84978,1.0,22696,1.0,22138,1
22138,1,22139,1.0,22617,1.0,84978,1.0,22696,1.0,21934,0
21912,1,21890,1.0,21703,1.0,21891,0.0,22548,0.0,22550,1
21912,1,21890,1.0,21703,1.0,21891,0.0,22548,0.0,40001,0
22890,1,22937,1.0,47566,1.0,21034,1.0,22086,1.0,23275,1
22890,1,22937,1.0,47566,1.0,21034,1.0,22086,1.0,84660B,0
22917,1,22916,1.0,22921,1.0,22920,1.0,22919,1.0,22086,1
22917,1,22916,1.0,22921,1.0,22920,1.0,22919,1.0,21145,0
85132B,1,23173,1.0,21932,1.0,20718,1.0,21933,1.0,23207,1
85132B,1,23173,1.0,21932,1.0,20718,1.0,21933,1.0,23300,0
21288,1,22119,1.0,23313,1.0,22910,1.0,23296,1.0,22400,1
21288,1,22119,1.0,23313,1.0,22910,1.0,23296,1.0,90192,0
84380,1,84375,1.0,22964,1.0,22966,1.0,85206A,0.0,84375,1
84380,1,84375,1.0,22964,1.0,22966,1.0,85206A,0.0,62018,0
20956,1,22755,1.0,21484,1.0,23084,1.0,23200,1.0,84978,1
20956,1,22755,1.0,21484,1.0,23084,1.0,23200,1.0,85096,0
21696,1,22675,1.0,22961,1.0,22665,1.0,21563,1.0,22477,1
21696,1,22675,1.0,22961,1.0,22665,1.0,21563,1.0,85055,0
37449,1,37446,1.0,21231,1.0,22720,1.0,22197,1.0,37449,1
37449,1,37446,1.0,21231,1.0,22720,1.0,22197,1.0,22570,0
22153,0,23264,1.0,23122,1.0,22847,1.0,22846,1.0,23198,1
22153,0,23264,1.0,23122,1.0,22847,1.0,22846,1.0,23236,0
M,1,84755,1.0,22230,1.0,22231,1.0,79190B,1.0,22029,1
M,1,84755,1.0,22230,1.0,22231,1.0,79190B,1.0,40005B,0
23077,1,22147,1.0,23146,1.0,22175,1.0,23148,1.0,23093,1
23077,1,22147,1.0,23146,1.0,22175,1.0,23148,1.0,23132,0
22949,1,85123A,1.0,22286,1.0,22974,1.0,22973,1.0,22405,1
22949,1,85123A,1.0,22286,1.0,22974,1.0,22973,1.0,22363,0
21843,1,84992,1.0,22423,1.0,22908,1.0,22326,1.0,21731,1
21843,1,84992,1.0,22423,1.0,22908,1.0,22326,1.0,22564,0
23284,1,23455,1.0,23456,1.0,23530,1.0,23526,1.0,23406,1
23284,1,23455,1.0,23456,1.0,23530,1.0,23526,1.0,22833,0
21498,0,21495,0.0,0,0.0,0,0.0,0,0.0,21495,1
21498,0,21495,0.0,0,0.0,0,0.0,0,0.0,21213,0
21210,1,22969,1.0,85034A,1.0,85034C,1.0,22236,1.0,85034A,1
21210,1,22969,1.0,85034A,1.0,85034C,1.0,22236,1.0,23393,0
22469,1,22470,1.0,0,0.0,0,0.0,0,0.0,23298,1
22469,1,22470,1.0,0,0.0,0,0.0,0,0.0,23014,0
23146,1,23148,1.0,22588,1.0,82494L,1.0,21340,1.0,21385,1
23146,1,23148,1.0,22588,1.0,82494L,1.0,21340,1.0,90046,0
22236,1,22970,1.0,47590A,1.0,47590B,1.0,22608,1.0,37448,1
22236,1,22970,1.0,47590A,1.0,47590B,1.0,22608,1.0,79164,0
23085,1,23084,1.0,21481,1.0,22697,1.0,23171,1.0,22910,1
23085,1,23084,1.0,21481,1.0,22697,1.0,23171,1.0,22845,0
